The Fantom Consortium;10.1038/NATURE13182;462-470;A promoter-level mammalian expression atlas.;https://dblp.org/rec/journals/nature/ConsortiumFKRB14;2014;Nature
RIKEN PMI + CLST (DGT);10.1038/NATURE13182;462-470;A promoter-level mammalian expression atlas.;https://dblp.org/rec/journals/nature/ConsortiumFKRB14;2014;Nature
Alistair R. R. Forrest;10.1038/NATURE13182;462-470;A promoter-level mammalian expression atlas.;https://dblp.org/rec/journals/nature/ConsortiumFKRB14;2014;Nature
Hideya Kawaji;10.1038/NATURE13182;462-470;A promoter-level mammalian expression atlas.;https://dblp.org/rec/journals/nature/ConsortiumFKRB14;2014;Nature
Michael Rehli;10.1038/NATURE13182;462-470;A promoter-level mammalian expression atlas.;https://dblp.org/rec/journals/nature/ConsortiumFKRB14;2014;Nature
J. Kenneth Baillie;10.1038/NATURE13182;462-470;A promoter-level mammalian expression atlas.;https://dblp.org/rec/journals/nature/ConsortiumFKRB14;2014;Nature
Michiel J. L. de Hoon;10.1038/NATURE13182;462-470;A promoter-level mammalian expression atlas.;https://dblp.org/rec/journals/nature/ConsortiumFKRB14;2014;Nature
Vanja Haberle;10.1038/NATURE13182;462-470;A promoter-level mammalian expression atlas.;https://dblp.org/rec/journals/nature/ConsortiumFKRB14;2014;Nature
Timo Lassmann;10.1038/NATURE13182;462-470;A promoter-level mammalian expression atlas.;https://dblp.org/rec/journals/nature/ConsortiumFKRB14;2014;Nature
Ivan V. Kulakovskiy;10.1038/NATURE13182;462-470;A promoter-level mammalian expression atlas.;https://dblp.org/rec/journals/nature/ConsortiumFKRB14;2014;Nature
Marina Lizio;10.1038/NATURE13182;462-470;A promoter-level mammalian expression atlas.;https://dblp.org/rec/journals/nature/ConsortiumFKRB14;2014;Nature
Masayoshi Itoh;10.1038/NATURE13182;462-470;A promoter-level mammalian expression atlas.;https://dblp.org/rec/journals/nature/ConsortiumFKRB14;2014;Nature
Robin Andersson;10.1038/NATURE13182;462-470;A promoter-level mammalian expression atlas.;https://dblp.org/rec/journals/nature/ConsortiumFKRB14;2014;Nature
Christopher J. Mungall;10.1038/NATURE13182;462-470;A promoter-level mammalian expression atlas.;https://dblp.org/rec/journals/nature/ConsortiumFKRB14;2014;Nature
Terrence F. Meehan;10.1038/NATURE13182;462-470;A promoter-level mammalian expression atlas.;https://dblp.org/rec/journals/nature/ConsortiumFKRB14;2014;Nature
Sebastian Schmeier;10.1038/NATURE13182;462-470;A promoter-level mammalian expression atlas.;https://dblp.org/rec/journals/nature/ConsortiumFKRB14;2014;Nature
Nicolas Bertin;10.1038/NATURE13182;462-470;A promoter-level mammalian expression atlas.;https://dblp.org/rec/journals/nature/ConsortiumFKRB14;2014;Nature
Mette Jørgensen;10.1038/NATURE13182;462-470;A promoter-level mammalian expression atlas.;https://dblp.org/rec/journals/nature/ConsortiumFKRB14;2014;Nature
Emmanuel Dimont;10.1038/NATURE13182;462-470;A promoter-level mammalian expression atlas.;https://dblp.org/rec/journals/nature/ConsortiumFKRB14;2014;Nature
Erik Arner;10.1038/NATURE13182;462-470;A promoter-level mammalian expression atlas.;https://dblp.org/rec/journals/nature/ConsortiumFKRB14;2014;Nature
Christian Schmidl;10.1038/NATURE13182;462-470;A promoter-level mammalian expression atlas.;https://dblp.org/rec/journals/nature/ConsortiumFKRB14;2014;Nature
